bookName,bookPublisher,publishDate,bookPrice,commentScore,commentNum,intro
经济学原理（上下）,机械工业出版社,2003-8,88.00元,9.1,13798,经济学家们的世界观
红楼梦,人民文学出版社,1996-12,59.70元,9.6,266127,都云作者痴，谁解其中味？
永恒的终结,江苏凤凰文艺出版社,2014-9-1,32.00元,9.0,21743,关于时间旅行的终极奥秘和恢宏构想
江城,上海译文出版社,2012-1,36.00元,9.0,34590,外国人眼中的涪陵
解忧杂货店,南海出版公司,2014-5,39.50元,8.5,613559,现代人内心流失的东西，这家杂货店能帮你找回
活着,作家出版社,2012-8-1,20.00元,9.4,436834,生的苦难与伟大
朝花夕拾,人民文学出版社,1972年4月,0.25元,8.8,77063,在混沌纷扰的生活漩流中，寻求人生的真谛
倾城之恋,北京十月文艺出版社,2006-12,29.80元,8.7,32273,“一对平凡的夫妻”之间的“一点真心”
百年孤独,南海出版公司,2011-6,39.50元,9.2,271004,魔幻现实主义文学代表作
刀锋,上海译文出版社,2007-3,18.00元,9.0,50832,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
台北人,广西师范大学出版社,2010-10,38.00元,8.9,31106,白先勇短篇小说集
孽子,广西师范大学出版社,2010.10,46.00元,9.1,13144,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
1984,北京十月文艺出版社,2010-4-1,28.00,9.3,131500,栗树荫下，我出卖你，你出卖我
人生的枷锁,上海译文出版社,2007-3,32.00元,9.0,18281,熟读唐诗三百首，不会吟诗也会吟
诗经,北京出版社,2006-7,19.90元,9.4,14745,思无邪
呐喊,人民文学出版社,1973年3月,0.36元,8.9,82490,新文学的第一声呐喊
唐诗三百首,中华书局,1998-1-1,0.65,9.3,11894,阿加莎·克里斯蒂代表作
我们仨,生活·读书·新知三联书店,2003-7,18.80元,8.7,223862,家庭生活回忆录
射雕英雄传（全四册）,生活·读书·新知三联书店,1999-04,47.00元,9.0,60114,侠之大者，为国为民
飘,译林出版社,2000-9,40.00元,9.3,146290,革命时期的爱情，随风而逝
西游记（全二册）,人民文学出版社,2004-8,47.20元,8.9,53443,神魔皆有人情，精魅亦通世故
三体全集,重庆出版社,2012-1-1,168.00元,9.4,30046,地球往事三部曲
罗杰疑案,人民文学出版社,2006-5,21.00元,8.9,25618,一切充满了善，然而到处是不凑巧
这些人，那些事,译林出版社,2011-9,28.00元,8.8,54381,平淡叙述下的惊心动魄
边城,北岳文艺出版社,2002-4,12.00元,8.7,168497,探索时间和空间的核心秘密
三国演义（全二册）,人民文学出版社,1998-05,39.50元,9.2,112103,是非成败转头空
